Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7
22.4522 , 65 , 17 , 32.4 , 567.337 , 3 , 7
22.5322 , 65 , 17 , 32.4 , 562.16 , 3 , 7
23.7284 , 65 , 17 , 32.4 , 548.983 , 3 , 7
23.2922 , 65 , 17 , 32.4 , 549.319 , 3 , 7
24.2122 , 65 , 17 , 32.4 , 525.351 , 3 , 7
24.7112 , 65 , 17 , 33.2 , 508.488 , 3 , 7
27.4658 , 65 , 17 , 33.6 , 462.197 , 3 , 7
25.1131 , 65 , 17 , 33.2 , 488.856 , 3 , 7
25.1821 , 65 , 17 , 32.4 , 492.016 , 3 , 7
21.35 , 60 , 17 , 33 , 564.053 , 4 , 7
21.29 , 60 , 17 , 33 , 573.717 , 4 , 7
25.6944 , 65 , 17 , 32.4 , 471.323 , 3 , 7
25.2944 , 66 , 17 , 32.4 , 478.295 , 3 , 7
22.01 , 70 , 17 , 32.4 , 555.251 , 3 , 7
23.085 , 55 , 14 , 34.2 , 437.86 , 5 , 7
23.7817 , 59 , 14 , 34.2 , 408.754 , 5 , 7
23.9998 , 59 , 14 , 34.2 , 408.418 , 5 , 7
21.1 , 49 , 16 , 34.2 , 530.485 , 5 , 7
21.3181 , 49 , 16 , 34.2 , 530.149 , 5 , 7
21.5362 , 49 , 16 , 34.2 , 529.813 , 5 , 7
19.5 , 58 , 14 , 33 , 588.359 , 5 , 7
19.57 , 58 , 14 , 33 , 579.49 , 5 , 7
19.76 , 58 , 14 , 33 , 551.293 , 5 , 7
20.05 , 51 , 15 , 34.2 , 538.035 , 5 , 7
27.19 , 47 , 17 , 34.2 , 613.045 , 6 , 7
23.7406 , 55 , 15 , 33 , 440.719 , 5 , 7
23.9694 , 51 , 15 , 33.2 , 427.673 , 6 , 7
23.9272 , 51 , 15 , 33.2 , 428.804 , 6 , 7
20.8 , 50 , 15 , 33 , 565.723 , 5 , 7
20.74 , 50 , 15 , 33 , 571.387 , 5 , 7
20.86 , 50 , 15 , 33 , 552.059 , 5 , 7
20.61 , 50 , 15 , 33 , 585.92 , 5 , 7
22.5844 , 52 , 14 , 33.2 , 461.131 , 5 , 7
21.2622 , 52 , 14 , 33.2 , 516.493 , 5 , 7
21.7822 , 52 , 14 , 33.2 , 501.061 , 5 , 7
21.9222 , 52 , 14 , 33.2 , 482.291 , 5 , 7
22.3644 , 52 , 14 , 33.2 , 470.291 , 5 , 7
22.5625 , 52 , 14 , 33.2 , 469.955 , 5 , 7
22.0844 , 52 , 14 , 33.2 , 470.591 , 5 , 7
24.1039 , 51 , 15 , 33.2 , 419.221 , 6 , 7
24.0039 , 51 , 15 , 33.2 , 424.381 , 6 , 7
23.2385 , 52 , 14 , 33.2 , 418.254 , 5 , 7
23.1272 , 52 , 14 , 33.2 , 420.225 , 5 , 7
23.1694 , 52 , 14 , 33.2 , 419.094 , 5 , 7
22.615 , 52 , 14 , 33.2 , 457.094 , 5 , 7
22.7161 , 52 , 14 , 33.2 , 455.643 , 5 , 7
23.3075 , 52 , 14 , 33.2 , 417.414 , 5 , 7
21.4022 , 72 , 18 , 33 , 536.185 , 3 , 7
20.96 , 49 , 15 , 33 , 554.143 , 5 , 7
21.4444 , 74 , 18 , 33 , 525.053 , 3 , 7
21.4444 , 70 , 18 , 33 , 531.053 , 3 , 7
23.3875 , 53 , 14 , 33.2 , 412.237 , 5 , 7
23.3185 , 52 , 14 , 33.2 , 415.077 , 5 , 7
23.3875 , 52 , 14 , 33.2 , 414.237 , 5 , 7
23.3185 , 53 , 14 , 33.6 , 409.077 , 5 , 7
19.73 , 54 , 14 , 33 , 566.808 , 5 , 7
28.0269 , 53 , 17 , 39 , 400.321 , 7 , 10
28.1369 , 53 , 17 , 39 , 389.761 , 7 , 10
28.2857 , 53 , 17 , 39 , 371.565 , 7 , 10
29.055 , 52 , 17 , 39 , 348.237 , 7 , 10
21.06 , 49 , 14 , 39 , 560.138 , 8 , 10
21.31 , 49 , 14 , 39 , 522.277 , 8 , 10
21.25 , 49 , 14 , 39 , 531.941 , 8 , 10
29.2091 , 52 , 17 , 39 , 328.965 , 7 , 10
29.0572 , 52 , 17 , 39 , 336.282 , 7 , 10
29.2047 , 52 , 17 , 39 , 330.919 , 7 , 10
29.0994 , 52 , 17 , 39 , 331.151 , 7 , 10
21.3867 , 49 , 14 , 39 , 511.546 , 8 , 10
21.38 , 49 , 14 , 39 , 513.409 , 8 , 10
22.68 , 50 , 13 , 39 , 522.185 , 8 , 10
22.9567 , 50 , 13 , 39 , 516.969 , 8 , 10
23.2067 , 50 , 13 , 39 , 490.139 , 8 , 10
21.64 , 50 , 13 , 39 , 552.464 , 8 , 10
21.51 , 50 , 13 , 39 , 570.997 , 8 , 10
24.9972 , 50 , 13 , 39 , 403.253 , 8 , 10
23.8689 , 50 , 13 , 39 , 449.97 , 8 , 10
24.6989 , 50 , 13 , 39 , 425.71 , 8 , 10
24.7889 , 50 , 13 , 39 , 424.167 , 8 , 10
24.955 , 50 , 13 , 39 , 404.384 , 8 , 10
21.7 , 50 , 13 , 39 , 540.8 , 8 , 10
26.3994 , 104 , 19 , 33.3 , 449.27 , 3 , 10
