Obj1,Obj2
0.79801,0.05763
0.8008,0.056695
0.80357,0.055752
0.80628,0.054822
0.80902,0.053814
0.81163,0.052876
0.81466,0.051878
0.81717,0.050893
0.82009,0.049908
0.82298,0.048991
0.8257,0.047978
0.82834,0.047099
0.83159,0.046002
0.83475,0.044955
0.83779,0.043992
0.84095,0.042988
0.84424,0.041993
0.84701,0.040963
0.8502,0.03993
0.85348,0.038961
0.85669,0.037992
0.86052,0.036954
0.86366,0.03593
0.86659,0.034971
0.87008,0.033877
0.87363,0.032798
0.8774,0.031785
0.8806,0.030689
0.88446,0.029712
0.88742,0.028791
0.8915,0.027627
0.8956,0.02655
0.89938,0.025487
0.90333,0.024339
0.90751,0.023285
0.91142,0.02218
0.91538,0.021151
0.91912,0.020022
0.92345,0.018916
0.92711,0.017905
0.93057,0.017003
0.93652,0.01555
0.94007,0.014489
0.94467,0.013325
0.94967,0.012132
0.95385,0.011006
0.95791,0.0098974
0.96264,0.0087266
0.96807,0.0075344
0.97279,0.0063107
0.97708,0.0052785
0.98257,0.0039458
0.98757,0.0027035
0.99328,0.0015009
0.99892,0.00024524
1,0
1,0
1,0
1,0
1,0
