Obj1,Obj2,Obj3,Obj4,Obj5,Obj6
195.6833671,118394.1768409,22.3436029,90.8539612,0.0145394,64.7294124,
210.3298940,118392.8372594,20.0992428,86.7448029,0.0134068,59.6869018,
186.7298002,118394.1053023,191401.8842899,90.9425994,0.0144271,64.2295247,
195.9401982,118394.1787144,21.5995109,90.8474564,0.0145434,64.7470674,
187.8752616,118843.9037711,24.2674521,93.3040899,0.0148388,66.0623624,
1118.4307246,100871.4216415,27.8577401,105.8156900,0.0203501,90.5984781,
1147.4425075,99975.4669906,28.1788144,109.8868077,0.0214915,95.6803341,
1209.1620956,90995.6298125,29.9353168,118.4125259,0.0246074,109.5523457,
1332.1359524,88299.1971044,29.4580575,123.7256969,0.0252172,112.2669229,
1257.8707185,85605.1595642,30.1032034,121.2670816,0.0252116,112.2419537,
667.4190253,100881.2399284,32.8054201,107.9436051,0.0225317,100.3112318,
666.7794863,100881.2816036,32.8305450,108.1331217,0.0225650,100.4595336,
652.8638075,100882.8700245,33.2844605,113.3621393,0.0234009,104.1806961,
481.4579448,105375.9225085,34.9685088,120.6420595,0.0226169,100.6905614,
594.4848673,98188.9918027,36.1292953,123.2310420,0.0240204,106.9389062,
516.6176507,101782.6832899,35.9280294,122.6251483,0.0233014,103.7378086,
536.6447156,100883.9707900,35.9076220,121.5333840,0.0233997,104.1753996,
1126.4647436,100871.1619720,27.6257583,106.6481934,0.0202292,90.0602539,
534.8713447,100883.9674508,36.5143174,123.2363998,0.0237436,105.7063374,
723.9851642,100876.8520808,31.6080445,96.6787016,0.0211316,94.0777676,
1129.9179285,100870.9594013,27.6183207,106.5804188,0.0200713,89.3575862,
1045.7669505,100876.1371859,28.5968598,108.3664107,0.0217593,96.8722966,
769.7781422,100878.4548968,31.5305558,99.6635580,0.0218812,97.4150607,
1853.9417573,63373.5468843,31.3919533,160.2329679,0.0347614,154.7576351,
782.3152603,100878.0194009,31.3565629,98.6518309,0.0217628,96.8879338,
1054.2947265,100875.8442232,28.4896649,108.1680189,0.0216936,96.5797286,
105.8707026,124227.1390469,6.4510670,71.6718792,0.0084843,37.7722963,
101.9920981,124227.7575973,6.6874716,72.6696191,0.0088376,39.3451016,
102.8007971,124227.5600288,6.6247469,72.0846453,0.0087393,38.9072585,
99.9784899,124228.1990337,6.8919794,73.3537595,0.0091343,40.6659453,
101.9136576,124228.1816149,7.0769914,73.8944772,0.0090706,40.3822048,
69.9349833,124235.5723945,12.5189187,104.0328808,0.0149098,66.3783863,
383.6343149,115030.3188579,31.9417117,107.0514346,0.0197111,87.7540108,
383.4062382,114806.4238684,32.3680949,109.3528717,0.0201661,89.7792877,
347.3221417,115255.6913932,31.8715391,110.6300120,0.0199408,88.7762334,
369.7248905,115255.5720285,31.9573900,109.4962584,0.0199964,89.0241596,
379.6473089,115255.1760512,32.3783452,108.5757351,0.0200822,89.4060113,
100.7497728,123113.8689790,19.2014639,107.9469781,0.0160437,71.4266978,
167.3042526,121541.9476021,25.1432916,106.1681935,0.0167864,74.7332208,
102.2159772,123113.4664767,19.0171081,106.4103333,0.0158115,70.3928734,
167.4954091,121541.9310165,25.1048614,105.7774665,0.0167621,74.6250211,
168.5396609,121541.8160199,25.0939365,105.3518236,0.0167075,74.3818870,
160.7045689,121766.5209484,24.7056941,105.9889115,0.0166930,74.3170681,
165.3684100,121542.2311532,25.0869727,106.3198388,0.0167816,74.7115305,
167.6715403,121541.9045694,25.0958946,105.7027875,0.0167518,74.5788660,
176.7391626,121317.3342282,25.6594480,105.4391194,0.0168459,74.9977931,
159.1268720,121767.0082897,24.9898507,107.7921488,0.0169715,75.5572034,
167.9695546,121541.9709423,25.0888313,105.8764134,0.0167624,74.6260300,
167.5930088,121541.9213609,25.1025656,105.7513538,0.0167588,74.6101405,
53.2788892,124017.2897327,16.9574979,127.1980914,0.0185447,82.5611808,
184.3091887,121092.2383351,25.6805882,103.5428389,0.0166492,74.1221068,
167.7150384,121541.8840432,25.0897117,105.6418123,0.0167424,74.5369985,
1021.2696471,100198.8853185,29.6918725,95.5596604,0.0207616,92.4308114,
187.6394397,120868.2158221,25.9469450,104.4141466,0.0167930,74.7622254,
